ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%),Number of individuals,approx.,comments
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,4,,Eragrostis trichophora,0.5,3,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,150,150,,5,,Bauhinia petersiana,15.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,150,150,,5,,commelina africana,2.0,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,150,150,,5,,Grewia flava,0.5,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,5,,Eragrostis trichophora,2.0,6,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,5,,Ozoroa schinzii,1.0,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,240,,6,,Bauhinia petersiana,38.0,3,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,240,,6,,Terminalia sericea,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,240,,6,,Sida cordifolia,0.5,3,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,240,,6,,Commiphora angolensis,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,240,,6,,Clerodendrum uncinatum,0.5,4,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,240,,6,,Eragrostis trichophora,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,240,,6,,Rhynchosia totta var. fenchelii,0.5,3,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,240,,6,,Acacia ataxacantha,3.0,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,240,,6,,Blepharis mitrata,0.5,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,240,,6,,Grewia flavescens,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,6,,Eragrostis rigidior,0.5,3,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,6,,Merremia tridentata,0.5,4,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,6,,Stipagrostis uniplumis,0.5,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,6,,Eragrostis trichophora,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,160,160,,7,,Bauhinia petersiana,8.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,160,160,,7,,Commiphora angolensis,5.0,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,160,160,,7,,Sida cordifolia,1.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,160,160,,7,,Combretum hereroense,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,160,160,,7,,commelina africana,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,160,160,,7,,Herb indet. 1,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,160,160,,7,,Stipagrostis uniplumis,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,7,,Eragrostis trichophora,0.5,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,7,,Stipagrostis uniplumis,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,260,300,,8,,Commiphora africana,1.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,260,300,,8,,Bauhinia petersiana,30.0,3,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,260,300,,8,,Sida cordifolia,1.0,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,260,300,,8,,Ipomoea dichroa,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,260,300,,8,,Clerodendrum ternatum,3.0,9,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,260,300,,8,,Rhynchosia totta var. fenchelii,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,260,300,,8,,Blepharis mitrata,1.0,3,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,260,300,,8,,Commiphora angolensis,1.0,1,,
