ID,COU,RES,SITE,SITE_ID,PLOT,GRAZ,DVS,DSS,STY,TAXOUSDA,TAXNWRB,STE,SDE,VEG,ELE-ALOS30,ELE EGM96,BIOME,DIST_EQUATOR,Lat_decimal,Long_decimal,NDVImean_S2,NDVI_Mean_L8,NDVI_Mean_SD_L8,NDVI_Mean_CV_L8,NDVI_Max_L8,NDVI_Max_SD_L8,NDVI_Max_CV_L8,NDVI_Mean_MODIS,NDVI_SD_Mean_MODIS,NDVI_CV_Mean_MODIS,NDVI_Max_MODIS,NDVI_Max_SD_MODIS,NDVI_Max_CV_MODIS,ASPECT-ALOS30,SLOPE-ALOS30,WP Distance,AMT,MDR,ISO,TSE,MAWM,MIWM,TAR,MTWEQ,MTDQ,MTWAQ,MTCQ,RAI,RAWM,RADM,RASE,RAWEQ,RADQ,RAWAQ,RACQ,MTMAX,MTMIN,AI,AI_v3,ARIDITY,ARIDITY v3
36,Argentina,"Yahdjian, Laura",Subandine,12,1,3,2017/02/02,2017/02/02,,Orthents,Haplic Regosols (Eutric),Loamy Sand,200,1,668,670,,45.5561,-45.55611,-71.47211,0.060435427,0.143488981,0.025326307,0.176503496,0.272063871,0.015830966,0.058188415,0.27161998,0.024205252,0.089114403,0.387355,0.077880485,0.201057132,103,4.0737,752.7462,7.3,8.7,39.29,460.4716,17.4,-4.7,22.1,2,12.9,12.9,1.5,573,85,24,46.1932,242,85,85,216,11.6,2.9,0.5008,0.4872,0.4992,0.5128
37,Argentina,"Yahdjian, Laura",Subandine,12,2,2,2017/02/03,2017/02/03,,Orthents,Haplic Regosols (Eutric),Sandy Loam,200,1,677,675,,45.5816,-45.58158,-71.47075,0.059053636,0.141237909,0.013420574,0.095021046,0.249714866,0.008153113,0.03264969,0.258922895,0.029403946,0.113562558,0.360315,0.041370982,0.114818929,180,0.9274,2380.4146,7.2,8.7,39.47,458.7376,17.3,-4.7,22,1.9,12.8,12.8,1.4,571,84,23,47.1862,244,84,84,220,11.5,2.9,0.4985,0.4848,0.5015,0.5152
38,Argentina,"Yahdjian, Laura",Subandine,12,3,1,2017/02/02,2017/02/02,,Orthents,Haplic Regosols (Eutric),Loamy Sand,200,1,652,654,,45.5764,-45.57636,-71.38994,0.059942468,0.149959467,0.01916163,0.127778728,0.231099591,0.009536408,0.041265362,0.287624239,0.03037633,0.105611162,0.391515,0.057125856,0.145909751,289,2.8055,7123.2004,7.5,9,39.89,464.1682,17.8,-4.7,22.5,2.1,13.1,13.1,1.6,523,77,21,47.3155,224,77,77,200,12,3,0.4443,0.4318,0.5557,0.5682
39,Argentina,"Yahdjian, Laura",Subandine,12,4,0,2017/02/01,2017/02/01,,Orthents,Haplic Regosols (Eutric),Sandy Loam,200,1,659,657,,45.5804,-45.58042,-71.39194,0.054680977,0.138524485,0.022899425,0.165309581,0.222994193,0.002746531,0.012316601,0.27324003,0.02953417,0.108088739,0.377405,0.068284648,0.180932017,0,0,7150.9469,7.5,9,39.89,464.1682,17.8,-4.7,22.5,2.1,13.1,13.1,1.6,528,77,22,46.6041,225,78,78,201,12,3,0.449,0.4364,0.551,0.5636
40,Australia,"Eldridge, David",Fowlers,13,1,3,2016/09/08,2016/09/08,Orthic Solonetz,Ustox,Haplic Cambisols,Loam,50,2,186,185,,31.0827,-31.0827,141.70068,0.061090805,0.137145064,0.013237718,0.096523475,0.200598871,0.028341169,0.141282797,0.171777599,0.026643565,0.155105,0.24065,0.04307882,0.179010264,229,1.4256,511.3146,19.3,13.3,43.1,624.5488,34.4,3.6,30.8,26.9,11.5,26.9,11.5,260,38,14,29.5252,88,49,88,49,26,12.7,0.0992,0.0989,0.9008,0.9011
41,Australia,"Eldridge, David",Fowlers,13,2,2,2016/09/07,2016/09/07,Orthic Solonetz,Ustox,Haplic Cambisols,Silt Loam,80,2,217,218,,31.05,-31.05004,141.67237,0.075234674,0.156675014,0.012521722,0.079921625,0.226361429,0.028746033,0.126991744,0.158923073,0.036460976,0.229425314,0.209605,0.072185889,0.344390111,90,1.0825,561.3327,19.2,13,42.73,620.295,34,3.5,30.5,26.7,11.3,26.7,11.3,259,37,14,27.3914,86,50,86,50,25.7,12.7,0.0998,0.0992,0.9002,0.9008
42,Australia,"Eldridge, David",Fowlers,13,3,1,2016/09/07,2016/09/07,Orthic Solonetz,Ustox,Haplic Cambisols,Silt Loam,80,2,239,239,,31.0241,-31.02409,141.67913,0.071223828,0.190049034,0.024286021,0.127788182,0.316035181,0.053810068,0.17026607,0.170382688,0.043904698,0.257682856,0.241765,0.090025583,0.372368138,311,1.4251,4904.6026,19.1,12.9,42.57,618.3385,33.9,3.6,30.3,26.6,11.3,26.6,11.3,263,37,15,26.0797,86,52,86,52,25.6,12.7,0.1018,0.1011,0.8982,0.8989
43,Australia,"Eldridge, David",Fowlers,13,4,0,2016/09/06,2016/09/06,Orthic Solonetz,Ustox,Haplic Cambisols,Loam,80,2,187,183,,31.083,-31.08305,141.69901,0.076454187,0.173349321,0.019849245,0.114504313,0.247192646,0.032176873,0.130169215,0.18373504,0.026221487,0.142713587,0.24699,0.042202917,0.17086893,131,1.4256,7308.2162,19.3,13.2,43,622.6063,34.3,3.6,30.7,26.8,11.5,26.8,11.5,259,37,14,28.6633,87,49,87,49,25.9,12.7,0.099,0.0986,0.901,0.9014
44,Australia,"Eldridge, David",Hay site,14,1,3,2016/05/24,2016/05/24,Calcic Luvisol,Torrox,Calcic Luvisols,Clay Loam,>2000,2,87,86,,34.7893,-34.78926,144.75515,0.106185777,0.224154101,0.068956158,0.30762836,0.432874471,0.249373649,0.576087679,0.288412263,0.079003704,0.273926301,0.475235,0.174349692,0.366870478,180,0.9274,314.5548,17.1,13.1,45.63,563.3161,30.4,1.8,28.6,13.7,21.1,24.1,10.2,381,37,25,13.725,108,83,92,96,23.6,10.6,0.1943,0.1913,0.8057,0.8087
45,Australia,"Eldridge, David",Hay site,14,2,2,2016/05/24,2016/05/24,Calcic Luvisol,Torrox,Calcic Luvisols,Clay,>2000,2,88,91,,34.7169,-34.71686,144.77065,0.116030063,0.225888121,0.05277161,0.233618348,0.438399414,0.12166823,0.277528267,0.271648518,0.064245265,0.236501438,0.4422,0.131822991,0.298107172,0,0,2358.8545,17.1,13.3,45.85,568.4202,30.5,1.6,28.9,13.7,21.2,24.1,10.1,381,37,25,13.6631,108,83,92,96,23.7,10.4,0.1926,0.1903,0.8074,0.8097
