"","table_no","p_value","ID","species","nurse_p","nurse_a","bare_p","bare_a"
"112",112,0.247848157712517,"18","Sphaeralcea mendocina",28,47,36,39
"113",113,0.189994573329605,"18","Glandularia parodii",36,39,45,30
"114",114,0.476546211785049,"18","Nassella tenuis",75,0,73,2
"115",115,3.4573705567113e-10,"18","Conyza lorentzii",40,35,4,71
"116",116,0.743420697695252,"18","Hysterionica jasionoides",6,69,4,71
"117",117,0.302878506461013,"18","Cardionema ramosissima",6,69,11,64
"118",118,0.0211640606057851,"18","Poa lanuginosa",20,55,8,67
"119",119,2.90085663832334e-07,"18","Ephedra triandra",35,40,6,69
"120",120,0.00595122641081352,"18","Schinus johnstonii",9,66,0,75
"121",121,0.111014772599141,"18","Baccharis ulicina",28,47,18,57
"122",122,1.20946168213691e-05,"18","Pappostipa speciosa",37,38,11,64
"123",123,0.450982319268883,"18","Prosopis flexuosa",11,64,7,68
"124",124,1,"18","Nassella longiglumis",31,44,30,45
"125",125,0.00190168315559188,"18","Nassella chilensis",46,29,26,49
"126",126,0.763441463864832,"18","Senna aphylla",5,70,7,68
"127",127,0.132369546811101,"18","Ephedra ochreata",9,66,3,72
"128",128,0.326109452020489,"18","Aristida mendocina",3,72,7,68
"129",129,0.0372208503797727,"18","Senecio melanopotamicus",6,69,0,75
"130",130,0.000152968002381792,"18","Pappostipa humilis",21,54,3,72
"131",131,1,"18","Boopis anthemoides",5,70,4,71
"132",132,1,"18","Trichocline sinuata",6,69,5,70
"133",133,0.06884504460752,"18","Poa ligularis",0,75,5,70
"134",134,0.0792298891162297,"18","Baccharis gilliesii",22,53,12,63
"135",135,3.61662776604676e-06,"18","Chuquiraga rosulata",40,35,12,63
"136",136,1,"18","Condalia microphylla",0,75,1,74
"137",137,0.606455134480892,"18","Bredemeyera microphylla",10,65,7,68
"138",138,0.162964051014908,"18","Acantholippia seriphioides",12,63,20,55
"139",139,0.0201990923207849,"18","Brachyclados lycioides",7,68,0,75
"140",140,0.00321973269092177,"18","Baccharis crispa",10,65,0,75
"141",141,1,"18","Hoffmannseggia trifoliata",0,75,1,74
"142",142,1,"18","Abyssinica SIL",0,75,1,74
"143",143,1,"18","Baccharis melanopotamica",4,71,5,70
"144",144,1,"18","Junellia seriphioides",1,74,2,73
"145",145,1,"18","Larrea divaricata",1,74,1,74
"146",146,1,"18","Geoffroea decorticans",2,73,1,74
"147",147,1,"18","musgo ",0,75,1,74
"148",148,0.243443186193133,"18","Amelichloa ambigua",0,75,3,72
"149",149,1,"18","Baccharis 3",1,74,2,73
"150",150,1,"18","Cereus ethiops",1,74,0,75
"151",151,1,"18","Lycium gilliesianum",1,74,0,75
"152",152,0.0692353462496247,"19","Thymophylla pentachaeta",1,74,7,68
"153",153,0.0016708706561987,"19","Tetraglochin caespitosum",22,53,6,69
"154",154,7.01034704406664e-07,"19","Poa ligularis",25,50,1,74
"155",155,5.95024440279719e-05,"19","Nassella tenuis",68,7,46,29
"156",156,0.000497698941438315,"19","Acantholippia seriphioides",42,33,20,55
"157",157,0.00199590815357255,"19","Chuquiraga erinacea",15,60,2,73
"158",158,1,"19","Junellia seriphioides",2,73,2,73
"159",159,0.296221078978296,"19","Gutierrezia baccharoides",54,21,47,28
