"","site_ID","ID","aridity","graz","prop_bare_only","prop_nurse_only","prop_both","arid_sq"
"83","78","252",0.8542,"0",0.115384615384615,0.307692307692308,0.576923076923077,0.72965764
"87","89","289",0.8575,"3",0.133333333333333,0.4,0.466666666666667,0.73530625
"9","7","21",0.8731,"1",0.136363636363636,0.318181818181818,0.545454545454545,0.76230361
"7","7","19",0.8738,"3",0.0384615384615385,0.423076923076923,0.538461538461538,0.76352644
"8","7","20",0.8738,"2",0.0434782608695652,0.304347826086957,0.652173913043478,0.76352644
"52","45","149",0.8739,"1",0.24,0.28,0.48,0.76370121
"53","45","150",0.8739,"0",0.238095238095238,0.142857142857143,0.619047619047619,0.76370121
"51","45","148",0.8802,"2",0.0476190476190476,0.619047619047619,0.333333333333333,0.77475204
"79","77","248",0.8812,"2",0.0384615384615385,0.384615384615385,0.576923076923077,0.77651344
"78","77","247",0.8818,"3",0.09375,0.34375,0.5625,0.77757124
"80","77","249",0.8828,"0",0.111111111111111,0.277777777777778,0.611111111111111,0.77933584
"50","45","147",0.8873,"3",0,0.75,0.25,0.78730129
"62","48","159",0.89,"3",1,0,0,0.7921
"63","48","160",0.8919,"2",0.333333333333333,0,0.666666666666667,0.79548561
"64","48","161",0.8919,"1",0.333333333333333,0,0.666666666666667,0.79548561
"65","48","162",0.8919,"0",0.333333333333333,0.333333333333333,0.333333333333333,0.79548561
"66","58","193",0.897,"3",0.0714285714285714,0.535714285714286,0.392857142857143,0.804609
"67","58","194",0.8971,"2",0,0.1,0.9,0.80478841
"68","58","195",0.8971,"1",0.111111111111111,0.111111111111111,0.777777777777778,0.80478841
"12","13","42",0.8989,"1",0.384615384615385,0,0.615384615384615,0.80802121
"11","13","41",0.9008,"2",0,0.2,0.8,0.81144064
"10","13","40",0.9011,"3",0.0769230769230769,0.538461538461538,0.384615384615385,0.81198121
"13","13","43",0.9014,"0",0.1,0.1,0.8,0.81252196
"75","65","214",0.9129,"3",0.5,0,0.5,0.83338641
"76","65","215",0.9129,"2",0.1,0.4,0.5,0.83338641
"77","65","216",0.9129,"1",0,0.25,0.75,0.83338641
"36","34","115",0.9434,"1",0.166666666666667,0.166666666666667,0.666666666666667,0.89000356
"35","34","114",0.9446,"2",0.25,0,0.75,0.89226916
