"","table_no","p_value","exp_nurse_p","exp_nurse_a","exp_bare_p","exp_bare_a","res_nurse_p","res_nurse_a","res_bare_p","res_bare_a","site_ID","ID","graz","aridity","species","nurse_p","nurse_a","bare_p","bare_a","association"
"35",35,1,1,1,24,24,0,0,0,0,"1","3","1","0.8317","Noaea mucronata",1,24,1,24,"too_rare"
"36",36,0.307434165927395,60,60,15,15,-0.387298334620742,0.387298334620742,0.774596669241483,-0.774596669241483,"6","16","3","0.8212","Amelichloa ambigua",57,18,63,12,"neutral"
"37",37,0.0980654445519799,43.5,43.5,31.5,31.5,-0.833907847936794,0.833907847936794,0.979957887012223,-0.979957887012223,"6","16","3","0.8212","Sphaeralcea mendocina",38,37,49,26,"neutral"
"38",38,0.62417529487533,37,37,38,38,-0.328797974610715,0.328797974610715,0.324442842261525,-0.324442842261525,"6","16","3","0.8212","Nassella longiglumis",35,40,39,36,"neutral"
"39",39,0.141609291165312,37,37,38,38,0.821994936526786,-0.821994936526786,-0.811107105653813,0.811107105653813,"6","16","3","0.8212","Baccharis ulicina",42,33,32,43,"neutral"
"40",40,0.00361948715408272,8,8,67,67,2.12132034355964,-2.12132034355964,-0.733016666137831,0.733016666137831,"6","16","3","0.8212","Conyza lorentzii",14,61,2,73,"nurse"
"41",41,0.817472865017008,64,64,11,11,-0.125,0.125,0.301511344577764,-0.301511344577764,"6","16","3","0.8212","Nassella tenuis",63,12,65,10,"neutral"
"42",42,1,33.5,33.5,41.5,41.5,-0.086386842558136,0.086386842558136,0.0776150525706333,-0.0776150525706333,"6","16","3","0.8212","Glandularia parodii",33,42,34,41,"neutral"
"43",43,1.97034391660213e-06,34,34,41,41,2.57247877713763,-2.57247877713763,-2.34260642832909,2.34260642832909,"6","16","3","0.8212","Pappostipa humilis",49,26,19,56,"nurse"
"44",44,0.00654153219372658,11.5,11.5,63.5,63.5,1.91674543001366,-1.91674543001366,-0.815692546679606,0.815692546679606,"6","16","3","0.8212","Lycium chilense",18,57,5,70,"nurse"
"45",45,0.763441463864832,6,6,69,69,0.408248290463863,-0.408248290463863,-0.120385853085769,0.120385853085769,"6","16","3","0.8212","Schinus johnstonii",7,68,5,70,"neutral"
"46",46,0.211299547333711,3,3,72,72,1.15470053837925,-1.15470053837925,-0.235702260395516,0.235702260395516,"6","16","3","0.8212","Ephedra triandra",5,70,1,74,"too_rare"
"47",47,0.132369546811101,6,6,69,69,1.22474487139159,-1.22474487139159,-0.361157559257308,0.361157559257308,"6","16","3","0.8212","Aloysia gratissima",9,66,3,72,"neutral"
"48",48,0.0351390449725864,6,6,69,69,1.63299316185545,-1.63299316185545,-0.481543412343077,0.481543412343077,"6","16","3","0.8212","Pappostipa speciosa",10,65,2,73,"nurse"
"49",49,0.243443186193133,1.5,1.5,73.5,73.5,1.22474487139159,-1.22474487139159,-0.174963553055941,0.174963553055941,"6","16","3","0.8212","Poa ligularis",3,72,0,75,"too_rare"
"50",50,1,0.5,0.5,74.5,74.5,0.707106781186547,-0.707106781186547,-0.0579284446363492,0.0579284446363492,"6","16","3","0.8212","Oxalis lasiopetala",1,74,0,75,"too_rare"
"51",51,0.275656516273492,4,4,71,71,1,-1,-0.237356331638771,0.237356331638771,"6","16","3","0.8212","Chuquiraga rosulata",6,69,2,73,"too_rare"
"52",52,1,5.5,5.5,69.5,69.5,-0.21320071635561,0.21320071635561,0.0599760143904067,-0.0599760143904067,"6","16","3","0.8212","Prosopis flexuosa",5,70,6,69,"neutral"
"53",53,0.326120250511336,9.5,9.5,65.5,65.5,0.811107105653813,-0.811107105653813,-0.308901031607608,0.308901031607608,"6","16","3","0.8212","Senna aphylla",12,63,7,68,"neutral"
"54",54,1,0.5,0.5,74.5,74.5,0.707106781186547,-0.707106781186547,-0.0579284446363492,0.0579284446363492,"6","16","3","0.8212","Senecio melanopotamicus",1,74,0,75,"too_rare"
"55",55,1,2.5,2.5,72.5,72.5,0.316227766016838,-0.316227766016838,-0.0587220219514703,0.0587220219514703,"6","16","3","0.8212","Condalia microphylla",3,72,2,73,"too_rare"
"56",56,0.561630252856753,6.5,6.5,68.5,68.5,0.588348405414552,-0.588348405414552,-0.181236627999053,0.181236627999053,"6","16","3","0.8212","Baccharis gilliesii",8,67,5,70,"neutral"
"57",57,0.716323887581356,4,4,71,71,-0.5,0.5,0.118678165819385,-0.118678165819385,"6","16","3","0.8212","Trichocline sinuata",3,72,5,70,"too_rare"
"58",58,0.243443186193133,1.5,1.5,73.5,73.5,-1.22474487139159,1.22474487139159,0.174963553055941,-0.174963553055941,"6","16","3","0.8212","Jarava plumosa",0,75,3,72,"too_rare"
"59",59,1,4.5,4.5,70.5,70.5,-0.235702260395516,0.235702260395516,0.0595491334175414,-0.0595491334175414,"6","16","3","0.8212","Boopis anthemoides",4,71,5,70,"too_rare"
"60",60,1,0.5,0.5,74.5,74.5,-0.707106781186547,0.707106781186547,0.0579284446363492,-0.0579284446363492,"6","16","3","0.8212","Ephedra ochreata",0,75,1,74,"too_rare"
"61",61,0.36297143233983,2.5,2.5,72.5,72.5,0.948683298050514,-0.948683298050514,-0.176166065854411,0.176166065854411,"6","16","3","0.8212","Bredemeyera microphylla",4,71,1,74,"too_rare"
"62",62,1,1.5,1.5,73.5,73.5,0.408248290463863,-0.408248290463863,-0.0583211843519804,0.0583211843519804,"6","16","3","0.8212","Junellia seriphioides",2,73,1,74,"too_rare"
"63",63,0.491695786196846,4.5,4.5,70.5,70.5,0.707106781186548,-0.707106781186548,-0.178647400252624,0.178647400252624,"6","16","3","0.8212","Poa lanuginosa",6,69,3,72,"too_rare"
"64",64,1,1,1,74,74,0,0,0,0,"6","16","3","0.8212","Monttea aphylla",1,74,1,74,"too_rare"
"65",65,0.476546211785049,1,1,74,74,1,-1,-0.116247638743819,0.116247638743819,"6","16","3","0.8212","Baccharis melanopotamica",2,73,0,75,"too_rare"
"66",66,0.612293027457368,2,2,73,73,0.707106781186547,-0.707106781186547,-0.117041147196131,0.117041147196131,"6","16","3","0.8212","Geoffroea decorticans",3,72,1,74,"too_rare"
"67",67,0.612293027457368,2,2,73,73,-0.707106781186547,0.707106781186547,0.117041147196131,-0.117041147196131,"6","16","3","0.8212","Acantholippia seriphioides",1,74,3,72,"too_rare"
"68",68,1,0.5,0.5,74.5,74.5,0.707106781186547,-0.707106781186547,-0.0579284446363492,0.0579284446363492,"6","16","3","0.8212","Brachyclados lycioides",1,74,0,75,"too_rare"
"69",69,1,2.5,2.5,72.5,72.5,0.316227766016838,-0.316227766016838,-0.0587220219514703,0.0587220219514703,"6","16","3","0.8212","Pappophorum vaginatum",3,72,2,73,"too_rare"
"70",70,1,2.5,2.5,72.5,72.5,-0.316227766016838,0.316227766016838,0.0587220219514703,-0.0587220219514703,"6","16","3","0.8212","Spergula ramosa",2,73,3,72,"too_rare"
"71",71,1,1,1,74,74,0,0,0,0,"6","16","3","0.8212","Prosopidastrum globosum",1,74,1,74,"too_rare"
"72",72,0.612293027457368,2,2,73,73,0.707106781186547,-0.707106781186547,-0.117041147196131,0.117041147196131,"6","16","3","0.8212","Hysterionica jasionoides",3,72,1,74,"too_rare"
"73",73,1,0.5,0.5,74.5,74.5,-0.707106781186547,0.707106781186547,0.0579284446363492,-0.0579284446363492,"6","16","3","0.8212","Larrea divaricata",0,75,1,74,"too_rare"
"74",74,1,0.5,0.5,74.5,74.5,0.707106781186547,-0.707106781186547,-0.0579284446363492,0.0579284446363492,"6","16","3","0.8212","Larrea cuneifolia",1,74,0,75,"too_rare"
"75",75,0.135625181600047,31,31,44,44,0.898026510133875,-0.898026510133875,-0.753778361444409,0.753778361444409,"6","17","2","0.8223","Pappostipa humilis",36,39,26,49,"neutral"
"76",76,0.612563396364337,28,28,47,47,0.377964473009227,-0.377964473009227,-0.291729982995789,0.291729982995789,"6","17","2","0.8223","Baccharis ulicina",30,45,26,49,"neutral"
"77",77,1.75736518171131e-06,18,18,57,57,3.06412938514171,-3.06412938514171,-1.72189206418456,1.72189206418456,"6","17","2","0.8223","Poa lanuginosa",31,44,5,70,"nurse"
"78",78,0.187448724637035,32.5,32.5,42.5,42.5,-0.789352217376326,0.789352217376326,0.690268489962633,-0.690268489962633,"6","17","2","0.8223","Cardionema ramosissima",28,47,37,38,"neutral"
"79",79,1,74.5,74.5,0.5,0.5,0.0579284446363492,-0.0579284446363492,-0.707106781186547,0.707106781186547,"6","17","2","0.8223","Nassella tenuis",75,0,74,1,"too_rare"
"80",80,0.637911547518857,10.5,10.5,64.5,64.5,-0.462910049886276,0.462910049886276,0.186771841909407,-0.186771841909407,"6","17","2","0.8223","Senna aphylla",9,66,12,63,"neutral"
"81",81,1,0.5,0.5,74.5,74.5,0.707106781186547,-0.707106781186547,-0.0579284446363492,0.0579284446363492,"6","17","2","0.8223","Euphorbia collina",1,74,0,75,"too_rare"
"82",82,0.248507250182538,11,11,64,64,0.904534033733291,-0.904534033733291,-0.375,0.375,"6","17","2","0.8223","Pappostipa speciosa",14,61,8,67,"neutral"
"83",83,0.36297143233983,2.5,2.5,72.5,72.5,-0.948683298050514,0.948683298050514,0.176166065854411,-0.176166065854411,"6","17","2","0.8223","Nassella longiglumis",1,74,4,71,"too_rare"
"84",84,0.742554341201578,41.5,41.5,33.5,33.5,-0.2328451577119,0.2328451577119,0.259160527674408,-0.259160527674408,"6","17","2","0.8223","Glandularia parodii",40,35,43,32,"neutral"
"85",85,1,3.5,3.5,71.5,71.5,-0.267261241912424,0.267261241912424,0.0591312395989083,-0.0591312395989083,"6","17","2","0.8223","Aristida mendocina",3,72,4,71,"too_rare"
"86",86,0.000288105584482375,11.5,11.5,63.5,63.5,2.50651325463325,-2.50651325463325,-1.06667486873487,1.06667486873487,"6","17","2","0.8223","Lycium chilense",20,55,3,72,"nurse"
"87",87,1,4.5,4.5,70.5,70.5,-0.235702260395516,0.235702260395516,0.0595491334175414,-0.0595491334175414,"6","17","2","0.8223","Prosopis flexuosa",4,71,5,70,"too_rare"
"88",88,1,1.5,1.5,73.5,73.5,-0.408248290463863,0.408248290463863,0.0583211843519804,-0.0583211843519804,"6","17","2","0.8223","Baccharis melanopotamica",1,74,2,73,"too_rare"
"89",89,1,1.5,1.5,73.5,73.5,-0.408248290463863,0.408248290463863,0.0583211843519804,-0.0583211843519804,"6","17","2","0.8223","Senecio melanopotamicus",1,74,2,73,"too_rare"
"90",90,0.612293027457368,2,2,73,73,0.707106781186547,-0.707106781186547,-0.117041147196131,0.117041147196131,"6","17","2","0.8223","Chuquiraga rosulata",3,72,1,74,"too_rare"
"91",91,1,3.5,3.5,71.5,71.5,-0.267261241912424,0.267261241912424,0.0591312395989083,-0.0591312395989083,"6","17","2","0.8223","Bredemeyera microphylla",3,72,4,71,"too_rare"
"92",92,0.740749397756571,31.5,31.5,43.5,43.5,-0.267261241912424,0.267261241912424,0.227429413073671,-0.227429413073671,"6","17","2","0.8223","Sphaeralcea mendocina",30,45,33,42,"neutral"
"93",93,0.724798494378135,23.5,23.5,51.5,51.5,0.309426373877638,-0.309426373877638,-0.209019904287485,0.209019904287485,"6","17","2","0.8223","Acantholippia seriphioides",25,50,22,53,"neutral"
"94",94,0.275656516273492,4,4,71,71,1,-1,-0.237356331638771,0.237356331638771,"6","17","2","0.8223","Conyza lorentzii",6,69,2,73,"too_rare"
"95",95,1,6.5,6.5,68.5,68.5,0.196116135138184,-0.196116135138184,-0.0604122093330177,0.0604122093330177,"6","17","2","0.8223","Amelichloa ambigua",7,68,6,69,"neutral"
"96",96,1,2,2,73,73,0,0,0,0,"6","17","2","0.8223","Ephedra ochreata",2,73,2,73,"too_rare"
"97",97,1,2.5,2.5,72.5,72.5,-0.316227766016838,0.316227766016838,0.0587220219514703,-0.0587220219514703,"6","17","2","0.8223","Junellia seriphioides",2,73,3,72,"too_rare"
"98",98,0.810181236410474,10,10,65,65,0.316227766016838,-0.316227766016838,-0.124034734589208,0.124034734589208,"6","17","2","0.8223","Baccharis gilliesii",11,64,9,66,"neutral"
"99",99,0.438806815987549,3.5,3.5,71.5,71.5,0.801783725737273,-0.801783725737273,-0.177393718796725,0.177393718796725,"6","17","2","0.8223","Hysterionica jasionoides",5,70,2,73,"too_rare"
"100",100,1,0.5,0.5,74.5,74.5,0.707106781186547,-0.707106781186547,-0.0579284446363492,0.0579284446363492,"6","17","2","0.8223","Condalia microphylla",1,74,0,75,"too_rare"
