"","table_no","p_value","exp_nurse_p","exp_nurse_a","exp_bare_p","exp_bare_a","res_nurse_p","res_nurse_a","res_bare_p","res_bare_a","site_ID","ID","graz","aridity","species","nurse_p","nurse_a","bare_p","bare_a","association"
"361",361,0.241170787686512,1.5,1.5,49.5,49.5,1.22474487139159,-1.22474487139159,-0.21320071635561,0.21320071635561,"25","85","1","0.515","Quinchamalium chilense",3,48,0,51,"too_rare"
"362",362,7.24105178868318e-05,12,12,39,39,2.59807621135332,-2.59807621135332,-1.44115338424578,1.44115338424578,"25","85","1","0.515","Festuca pallescens",21,30,3,48,"nurse"
"363",363,1,0.5,0.5,50.5,50.5,-0.707106781186547,0.707106781186547,0.0703597544730292,-0.0703597544730292,"25","85","1","0.515","Leucheria candidissima",0,51,1,50,"too_rare"
"364",364,1,0.5,0.5,50.5,50.5,0.707106781186547,-0.707106781186547,-0.0703597544730292,0.0703597544730292,"25","85","1","0.515","Senecio sericeo-nitens",1,50,0,51,"too_rare"
"365",365,1,2,2,49,49,0,0,0,0,"25","85","1","0.515","Taraxacum officinale",2,49,2,49,"too_rare"
"366",366,0.0320887339782314,8,8,16,16,-1.41421356237309,1.41421356237309,1,-1,"28","93","3","0.8074","Setaria viridis",4,20,12,12,"bare"
"367",367,0.662520583540057,3,3,21,21,0.577350269189626,-0.577350269189626,-0.218217890235992,0.218217890235992,"28","93","3","0.8074","Agrostis tenuis",4,20,2,22,"too_rare"
"368",368,1,1.5,1.5,22.5,22.5,0.408248290463863,-0.408248290463863,-0.105409255338946,0.105409255338946,"28","93","3","0.8074","Tribulus terrestris",2,22,1,23,"too_rare"
"369",369,1,0.5,0.5,23.5,23.5,-0.707106781186547,0.707106781186547,0.103142124625879,-0.103142124625879,"28","93","3","0.8074","Kummerowia stipulacea",0,24,1,23,"too_rare"
"370",370,0.139086729760013,4.5,4.5,19.5,19.5,-1.17851130197758,1.17851130197758,0.566138517072298,-0.566138517072298,"28","93","3","0.8074","Bassia dasyphylla",2,22,7,17,"too_rare"
"371",371,0.0274686403856814,18,18,7,7,-0.942809041582063,0.942809041582063,1.51185789203691,-1.51185789203691,"28","94","2","0.8113","Setaria viridis",14,11,22,3,"bare"
"372",372,0.777123746357262,12,12,13,13,-0.288675134594813,0.288675134594813,0.277350098112615,-0.277350098112615,"28","94","2","0.8113","Oxytropis psammocharis",11,14,13,12,"neutral"
"373",373,1,13.5,13.5,11.5,11.5,0.136082763487954,-0.136082763487954,-0.147441956154897,0.147441956154897,"28","94","2","0.8113","Kummerowia stipulacea",14,11,13,12,"neutral"
"374",374,0.34577858615116,2.5,2.5,22.5,22.5,-0.948683298050514,0.948683298050514,0.316227766016838,-0.316227766016838,"28","94","2","0.8113","Corispermum chinganicum",1,24,4,21,"too_rare"
"375",375,0.00184718524347832,13,13,12,12,-1.66410058867569,1.66410058867569,1.73205080756888,-1.73205080756888,"28","94","2","0.8113","Bassia dasyphylla",7,18,19,6,"bare"
"376",376,0.0593464387919201,2.5,2.5,22.5,22.5,-1.58113883008419,1.58113883008419,0.52704627669473,-0.52704627669473,"28","94","2","0.8113","Artemisia desertorum",0,25,5,20,"too_rare"
"377",377,1,3,3,22,22,0,0,0,0,"28","94","2","0.8113","Salsola ruthenica",3,22,3,22,"too_rare"
"378",378,1,1.5,1.5,23.5,23.5,-0.408248290463863,0.408248290463863,0.103142124625879,-0.103142124625879,"28","94","2","0.8113","Herba Artimisiae",1,24,2,23,"too_rare"
"379",379,0.233660388894587,1.5,1.5,23.5,23.5,1.22474487139159,-1.22474487139159,-0.309426373877638,0.309426373877638,"28","94","2","0.8113","Medicago Sativa",3,22,0,25,"too_rare"
"380",380,1,1,1,24,24,0,0,0,0,"28","94","2","0.8113","Sonchus oleraceus",1,24,1,24,"too_rare"
"381",381,0.47048642205879,1,1,24,24,-1,1,0.204124145231932,-0.204124145231932,"28","94","2","0.8113","Cirsium japonicum",0,25,2,23,"too_rare"
"382",382,0.49474034453316,5.5,5.5,19.5,19.5,-0.639602149066831,0.639602149066831,0.339683110243379,-0.339683110243379,"28","94","2","0.8113","Agriophyllum squarrosum",4,21,7,18,"neutral"
"383",383,0.570371569411399,11.5,11.5,13.5,13.5,0.442325868464691,-0.442325868464691,-0.408248290463863,0.408248290463863,"28","94","2","0.8113","Agrostis tenuis",13,12,10,15,"neutral"
"384",384,1,1.5,1.5,23.5,23.5,0.408248290463863,-0.408248290463863,-0.103142124625879,0.103142124625879,"28","94","2","0.8113","Heteropappus altaicus",2,23,1,24,"too_rare"
"385",385,1,12,12,13,13,0,0,0,0,"28","94","2","0.8113","Poa annua",12,13,12,13,"neutral"
"386",386,0.414992666397882,3.5,3.5,21.5,21.5,-0.801783725737273,0.801783725737273,0.323498319610315,-0.323498319610315,"28","94","2","0.8113","Artemisia scoparia",2,23,5,20,"too_rare"
"387",387,0.17207161769463,5.5,5.5,19.5,19.5,-1.06600358177805,1.06600358177805,0.566138517072298,-0.566138517072298,"28","94","2","0.8113","Tribulus terrestris",3,22,8,17,"neutral"
"388",388,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"28","94","2","0.8113","Euphorbia thymifolia",0,25,1,24,"too_rare"
"389",389,0.0135546660648155,17.5,17.5,7.5,7.5,-1.07570574840095,1.07570574840095,1.6431676725155,-1.6431676725155,"28","95","1","0.8095","Bassia dasyphylla",13,12,22,3,"bare"
"390",390,0.723673609831763,20,20,5,5,-0.223606797749979,0.223606797749979,0.447213595499958,-0.447213595499958,"28","95","1","0.8095","Setaria viridis",19,6,21,4,"neutral"
"391",391,1,18.5,18.5,6.5,6.5,-0.116247638743819,0.116247638743819,0.196116135138184,-0.196116135138184,"28","95","1","0.8095","Kummerowia stipulacea",18,7,19,6,"neutral"
"392",392,1,2.5,2.5,22.5,22.5,0.316227766016838,-0.316227766016838,-0.105409255338946,0.105409255338946,"28","95","1","0.8095","Allium mongolicum",3,22,2,23,"too_rare"
"393",393,1,2,2,23,23,0,0,0,0,"28","95","1","0.8095","Oxytropis psammocharis",2,23,2,23,"too_rare"
"394",394,0.00323120983836726,4.5,4.5,20.5,20.5,-2.12132034355964,2.12132034355964,0.993883734673619,-0.993883734673619,"28","95","1","0.8095","Artemisia desertorum",0,25,9,16,"too_rare"
"395",395,1,5.5,5.5,19.5,19.5,-0.21320071635561,0.21320071635561,0.11322770341446,-0.11322770341446,"28","95","1","0.8095","Poa annua",5,20,6,19,"neutral"
"396",396,0.191694602051888,3,3,22,22,-1.15470053837925,1.15470053837925,0.426401432711221,-0.426401432711221,"28","95","1","0.8095","Agriophyllum squarrosum",1,24,5,20,"too_rare"
"397",397,0.461602801683476,20.5,20.5,4.5,4.5,-0.33129457822454,0.33129457822454,0.707106781186548,-0.707106781186548,"28","95","1","0.8095","Agrostis tenuis",19,6,22,3,"too_rare"
"398",398,1,3,3,22,22,0,0,0,0,"28","95","1","0.8095","Herba Artimisiae",3,22,3,22,"too_rare"
"399",399,1,1,1,24,24,0,0,0,0,"28","95","1","0.8095","Corispermum chinganicum",1,24,1,24,"too_rare"
"400",400,1,3.5,3.5,21.5,21.5,-0.267261241912424,0.267261241912424,0.107832773203438,-0.107832773203438,"28","95","1","0.8095","Heteropappus altaicus",3,22,4,21,"too_rare"
"401",401,1,1.5,1.5,23.5,23.5,-0.408248290463863,0.408248290463863,0.103142124625879,-0.103142124625879,"28","95","1","0.8095","Juniperus formosana",1,24,2,23,"too_rare"
"402",402,0.602167527748196,2,2,23,23,-0.707106781186547,0.707106781186547,0.208514414057075,-0.208514414057075,"28","95","1","0.8095","Artemisia scoparia",1,24,3,22,"too_rare"
"403",403,1,1,1,24,24,0,0,0,0,"28","95","1","0.8095","Salsola ruthenica",1,24,1,24,"too_rare"
"404",404,1,1,1,24,24,0,0,0,0,"28","95","1","0.8095","Suaeda salsa",1,24,1,24,"too_rare"
"405",405,0.47048642205879,1,1,24,24,-1,1,0.204124145231932,-0.204124145231932,"28","95","1","0.8095","Tribulus terrestris",0,25,2,23,"too_rare"
"406",406,1,1,1,24,24,0,0,0,0,"28","95","1","0.8095","Isatis tinctoria",1,24,1,24,"too_rare"
"407",407,0.256371669949325,11.5,11.5,13.5,13.5,0.737209780774486,-0.737209780774486,-0.680413817439772,0.680413817439772,"28","96","0","0.8133","Kummerowia stipulacea",14,11,9,16,"neutral"
"408",408,0.602167527748196,23,23,2,2,-0.208514414057075,0.208514414057075,0.707106781186547,-0.707106781186547,"28","96","0","0.8133","Poa annua",22,3,24,1,"too_rare"
"409",409,0.56659848028325,10.5,10.5,14.5,14.5,-0.462910049886276,0.462910049886276,0.393919298579168,-0.393919298579168,"28","96","0","0.8133","Agrostis tenuis",9,16,12,13,"neutral"
"410",410,0.00692751797722652,4,4,21,21,-2,2,0.87287156094397,-0.87287156094397,"28","96","0","0.8133","Artemisia desertorum",0,25,8,17,"too_rare"
"411",411,0.0886592320827466,11.5,11.5,13.5,13.5,-1.03209369308428,1.03209369308428,0.95257934441568,-0.95257934441568,"28","96","0","0.8133","Oxytropis psammocharis",8,17,15,10,"neutral"
"412",412,1,0.5,0.5,24.5,24.5,0.707106781186547,-0.707106781186547,-0.101015254455221,0.101015254455221,"28","96","0","0.8133","Setaria viridis",1,24,0,25,"too_rare"
"413",413,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"28","96","0","0.8133","Sonchus oleraceus",0,25,1,24,"too_rare"
"414",414,0.47048642205879,1,1,24,24,-1,1,0.204124145231932,-0.204124145231932,"28","96","0","0.8133","Herba Artimisiae",0,25,2,23,"too_rare"
"415",415,1,2.5,2.5,22.5,22.5,-0.316227766016838,0.316227766016838,0.105409255338946,-0.105409255338946,"28","96","0","0.8133","Cynanchum hancockianum",2,23,3,22,"too_rare"
"416",416,0.0274686403856814,7,7,18,18,-1.51185789203691,1.51185789203691,0.942809041582063,-0.942809041582063,"28","96","0","0.8133","Artemisia scoparia",3,22,11,14,"bare"
"417",417,1,5.5,5.5,19.5,19.5,0.21320071635561,-0.21320071635561,-0.11322770341446,0.11322770341446,"28","96","0","0.8133","Heteropappus altaicus",6,19,5,20,"neutral"
"418",418,0.47048642205879,1,1,24,24,-1,1,0.204124145231932,-0.204124145231932,"28","96","0","0.8133","Ixeridium chinense",0,25,2,23,"too_rare"
"419",419,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"28","96","0","0.8133","Artemisia argyi",0,25,1,24,"too_rare"
"420",420,1,0.5,0.5,24.5,24.5,0.707106781186547,-0.707106781186547,-0.101015254455221,0.101015254455221,"28","96","0","0.8133","Poa sphondylodes",1,24,0,25,"too_rare"
"421",421,1,2,2,23,23,0,0,0,0,"28","96","0","0.8133","Juniperus formosana",2,23,2,23,"too_rare"
"422",422,0.47048642205879,1,1,24,24,1,-1,-0.204124145231932,0.204124145231932,"28","96","0","0.8133","Isatis tinctoria",2,23,0,25,"too_rare"
"423",423,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"28","96","0","0.8133","Thalictrum petaloideum",0,25,1,24,"too_rare"
"424",424,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"28","96","0","0.8133","Allium mongolicum",0,25,1,24,"too_rare"
"425",425,1,0.5,0.5,24.5,24.5,0.707106781186547,-0.707106781186547,-0.101015254455221,0.101015254455221,"28","96","0","0.8133","Stemmacanthauniflora (L.",1,24,0,25,"too_rare"
"426",426,1,19,19,6,6,0,0,0,0,"29","97","3","0.7721","Artemisia argyi",19,6,19,6,"neutral"
"427",427,1,10,10,15,15,0,0,0,0,"29","97","3","0.7721","Medicago Sativa",10,15,10,15,"neutral"
"428",428,0.777123746357262,12,12,13,13,-0.288675134594813,0.288675134594813,0.277350098112615,-0.277350098112615,"29","97","3","0.7721","Poa annua",11,14,13,12,"neutral"
"429",429,0.740543958567318,19,19,6,6,0.229415733870562,-0.229415733870562,-0.408248290463863,0.408248290463863,"29","97","3","0.7721","Artemisia scoparia",20,5,18,7,"neutral"
"430",430,0.191694602051888,3,3,22,22,1.15470053837925,-1.15470053837925,-0.426401432711221,0.426401432711221,"29","97","3","0.7721","Euphorbia esula",5,20,1,24,"too_rare"
"431",431,0.0732540997782142,16.5,16.5,8.5,8.5,-0.861640436855329,0.861640436855329,1.20049009599756,-1.20049009599756,"29","97","3","0.7721","Phragmites australias",13,12,20,5,"neutral"
"432",432,0.00636181169725937,8,8,17,17,-1.76776695296637,1.76776695296637,1.21267812518166,-1.21267812518166,"29","97","3","0.7721","Chenopodium album",3,22,13,12,"bare"
"433",433,1,4.5,4.5,20.5,20.5,-0.235702260395516,0.235702260395516,0.110431526074847,-0.110431526074847,"29","97","3","0.7721","Salsola ruthenica",4,21,5,20,"too_rare"
"434",434,0.0886592320827466,13.5,13.5,11.5,11.5,-0.95257934441568,0.95257934441568,1.03209369308428,-1.03209369308428,"29","97","3","0.7721","Bassia dasyphylla",10,15,17,8,"neutral"
"435",435,1,2.5,2.5,22.5,22.5,0.316227766016838,-0.316227766016838,-0.105409255338946,0.105409255338946,"29","97","3","0.7721","Corispermum chinganicum",3,22,2,23,"too_rare"
"436",436,0.761760667487734,8,8,17,17,0.353553390593274,-0.353553390593274,-0.242535625036333,0.242535625036333,"29","97","3","0.7721","Poa sphondylodes",9,16,7,18,"neutral"
"437",437,1,1,1,24,24,0,0,0,0,"29","97","3","0.7721","Allium mongolicum",1,24,1,24,"too_rare"
"438",438,1,1.5,1.5,23.5,23.5,0.408248290463863,-0.408248290463863,-0.103142124625879,0.103142124625879,"29","97","3","0.7721","Cynanchum hancockianum",2,23,1,24,"too_rare"
"439",439,0.34577858615116,2.5,2.5,22.5,22.5,-0.948683298050514,0.948683298050514,0.316227766016838,-0.316227766016838,"29","97","3","0.7721","Agriophyllum squarrosum",1,24,4,21,"too_rare"
"440",440,1,2.5,2.5,22.5,22.5,-0.316227766016838,0.316227766016838,0.105409255338946,-0.105409255338946,"29","97","3","0.7721","Oxytropis psammocharis",2,23,3,22,"too_rare"
"441",441,0.752784132649847,7,7,18,18,0.377964473009227,-0.377964473009227,-0.235702260395516,0.235702260395516,"29","97","3","0.7721","Convolvulus arvensis",8,17,6,19,"neutral"
"442",442,0.772829992684448,15,15,10,10,0.258198889747161,-0.258198889747161,-0.316227766016838,0.316227766016838,"29","97","3","0.7721","Ixeridium chinense",16,9,14,11,"neutral"
"443",443,1,2,2,23,23,0,0,0,0,"29","97","3","0.7721","Sonchus oleraceus",2,23,2,23,"too_rare"
"444",444,1,1.5,1.5,23.5,23.5,0.408248290463863,-0.408248290463863,-0.103142124625879,0.103142124625879,"29","97","3","0.7721","Euphorbia thymifolia",2,23,1,24,"too_rare"
"445",445,0.602167527748196,2,2,23,23,0.707106781186547,-0.707106781186547,-0.208514414057075,0.208514414057075,"29","97","3","0.7721","Heteropappus altaicus",3,22,1,24,"too_rare"
"446",446,1,0.5,0.5,24.5,24.5,0.707106781186547,-0.707106781186547,-0.101015254455221,0.101015254455221,"29","97","3","0.7721","Artemisia desertorum",1,24,0,25,"too_rare"
"447",447,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"29","97","3","0.7721","Agrostis tenuis",0,25,1,24,"too_rare"
"448",448,0.34577858615116,2.5,2.5,22.5,22.5,0.948683298050514,-0.948683298050514,-0.316227766016838,0.316227766016838,"29","97","3","0.7721","Cirsium japonicum",4,21,1,24,"too_rare"
"449",449,0.47048642205879,1,1,24,24,1,-1,-0.204124145231932,0.204124145231932,"29","97","3","0.7721","Setaria viridis",2,23,0,25,"too_rare"
"450",450,1,39.5,39.5,10.5,10.5,0.079555728417573,-0.079555728417573,-0.154303349962092,0.154303349962092,"29","98","2","0.7721","Poa sphondylodes",40,10,39,11,"neutral"
"451",451,0.156111492960049,29,29,21,21,0.742781352708207,-0.742781352708207,-0.87287156094397,0.87287156094397,"29","98","2","0.7721","Phragmites australias",33,17,25,25,"neutral"
"452",452,0.623406208134734,10.5,10.5,39.5,39.5,0.462910049886276,-0.462910049886276,-0.238667185252719,0.238667185252719,"29","98","2","0.7721","Lithospermum arvense",12,38,9,41,"neutral"
"453",453,0.413176150987312,8,8,42,42,0.707106781186547,-0.707106781186547,-0.308606699924184,0.308606699924184,"29","98","2","0.7721","Sonchus oleraceus",10,40,6,44,"neutral"
"454",454,0.0163735790351143,24.5,24.5,25.5,25.5,-1.31319830791787,1.31319830791787,1.28719180586968,-1.28719180586968,"29","98","2","0.7721","Bassia dasyphylla",18,32,31,19,"bare"
"455",455,1,4.5,4.5,45.5,45.5,-0.235702260395516,0.235702260395516,0.0741249316661101,-0.0741249316661101,"29","98","2","0.7721","Salsola ruthenica",4,46,5,45,"too_rare"
"456",456,0.802587348634152,10,10,40,40,0.316227766016838,-0.316227766016838,-0.158113883008419,0.158113883008419,"29","98","2","0.7721","Medicago Sativa",11,39,9,41,"neutral"
"457",457,0.00687271844568251,13.5,13.5,36.5,36.5,1.76907592534341,-1.76907592534341,-1.07588765518308,1.07588765518308,"29","98","2","0.7721","Ixeridium chinense",20,30,7,43,"nurse"
"458",458,0.149591450706816,7,7,43,43,1.13389341902768,-1.13389341902768,-0.457495710997814,0.457495710997814,"29","98","2","0.7721","Setaria viridis",10,40,4,46,"neutral"
"459",459,1,2,2,48,48,0,0,0,0,"29","98","2","0.7721","Cynanchum hancockianum",2,48,2,48,"too_rare"
"460",460,1,10,10,40,40,0,0,0,0,"29","98","2","0.7721","Euphorbia thymifolia",10,40,10,40,"neutral"
"461",461,0.836774186606379,19,19,31,31,-0.229415733870562,0.229415733870562,0.179605302026775,-0.179605302026775,"29","98","2","0.7721","Artemisia scoparia",18,32,20,30,"neutral"
"462",462,1,6.5,6.5,43.5,43.5,-0.196116135138184,0.196116135138184,0.0758098043578903,-0.0758098043578903,"29","98","2","0.7721","Isatis tinctoria",6,44,7,43,"neutral"
"463",463,0.0664574200169311,2.5,2.5,47.5,47.5,-1.58113883008419,1.58113883008419,0.362738125055006,-0.362738125055006,"29","98","2","0.7721","Agriophyllum squarrosum",0,50,5,45,"too_rare"
"464",464,0.494012341349993,13,13,37,37,-0.554700196225229,0.554700196225229,0.328797974610715,-0.328797974610715,"29","98","2","0.7721","Poa annua",11,39,15,35,"neutral"
"465",465,0.0653254404645751,4,4,46,46,1.5,-1.5,-0.442325868464691,0.442325868464691,"29","98","2","0.7721","Heteropappus altaicus",7,43,1,49,"too_rare"
"466",466,0.0436572845081241,7,7,43,43,-1.51185789203691,1.51185789203691,0.609994281330419,-0.609994281330419,"29","98","2","0.7721","Oxytropis psammocharis",3,47,11,39,"bare"
"467",467,0.234281487884539,6.5,6.5,43.5,43.5,0.98058067569092,-0.98058067569092,-0.379049021789452,0.379049021789452,"29","98","2","0.7721","Artemisia argyi",9,41,4,46,"neutral"
"468",468,0.433121205577867,3.5,3.5,46.5,46.5,-0.801783725737273,0.801783725737273,0.21997067253203,-0.21997067253203,"29","98","2","0.7721","Corispermum chinganicum",2,48,5,45,"too_rare"
"469",469,1,3.5,3.5,46.5,46.5,-0.267261241912424,0.267261241912424,0.0733235575106767,-0.0733235575106767,"29","98","2","0.7721","Allium mongolicum",3,47,4,46,"too_rare"
"470",470,0.241028167264432,1.5,1.5,48.5,48.5,1.22474487139159,-1.22474487139159,-0.215387447585321,0.215387447585321,"29","98","2","0.7721","Convolvulus arvensis",3,47,0,50,"too_rare"
"471",471,0.123891319166876,6,6,44,44,1.22474487139159,-1.22474487139159,-0.452267016866645,0.452267016866645,"29","98","2","0.7721","Euphorbia esula",9,41,3,47,"neutral"
"472",472,0.475050524053953,1,1,49,49,-1,1,0.142857142857143,-0.142857142857143,"29","98","2","0.7721","Agrostis tenuis",0,50,2,48,"too_rare"
"473",473,0.475050524053953,1,1,49,49,1,-1,-0.142857142857143,0.142857142857143,"29","98","2","0.7721","Erodium stephanianum",2,48,0,50,"too_rare"
"474",474,0.475050524053953,1,1,49,49,1,-1,-0.142857142857143,0.142857142857143,"29","98","2","0.7721","Taraxacum mongolicum",2,48,0,50,"too_rare"
"475",475,1,2,2,48,48,0,0,0,0,"29","98","2","0.7721","Cirsium japonicum",2,48,2,48,"too_rare"
"476",476,1,0.5,0.5,49.5,49.5,0.707106781186547,-0.707106781186547,-0.0710669054518702,0.0710669054518702,"29","98","2","0.7721","Carpesium abrotanoides",1,49,0,50,"too_rare"
"477",477,0.475050524053953,1,1,49,49,-1,1,0.142857142857143,-0.142857142857143,"29","98","2","0.7721","Chenopodium album",0,50,2,48,"too_rare"
"478",478,1,0.5,0.5,49.5,49.5,-0.707106781186547,0.707106781186547,0.0710669054518702,-0.0710669054518702,"29","98","2","0.7721","Limonium bicolor",0,50,1,49,"too_rare"
"479",479,1,0.5,0.5,24.5,24.5,0.707106781186547,-0.707106781186547,-0.101015254455221,0.101015254455221,"29","99","1","0.7721","Stemmacanthauniflora (L.",1,24,0,25,"too_rare"
"480",480,0.000174886592542093,15,15,10,10,-1.80739222823013,1.80739222823013,2.21359436211787,-2.21359436211787,"29","99","1","0.7721","Halogeton glomeratus",8,17,22,3,"bare"
"481",481,0.602167527748196,23,23,2,2,0.208514414057075,-0.208514414057075,-0.707106781186547,0.707106781186547,"29","99","1","0.7721","Poa annua",24,1,22,3,"too_rare"
"482",482,1,1.5,1.5,23.5,23.5,0.408248290463863,-0.408248290463863,-0.103142124625879,0.103142124625879,"29","99","1","0.7721","Setaria viridis",2,23,1,24,"too_rare"
"483",483,0.740543958567318,19,19,6,6,0.229415733870562,-0.229415733870562,-0.408248290463863,0.408248290463863,"29","99","1","0.7721","Phragmites australias",20,5,18,7,"neutral"
"484",484,0.233660388894587,1.5,1.5,23.5,23.5,1.22474487139159,-1.22474487139159,-0.309426373877638,0.309426373877638,"29","99","1","0.7721","L. apetalum",3,22,0,25,"too_rare"
"485",485,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"29","99","1","0.7721","hongzhijuanbai ",0,25,1,24,"too_rare"
"486",486,1,1.5,1.5,23.5,23.5,-0.408248290463863,0.408248290463863,0.103142124625879,-0.103142124625879,"29","99","1","0.7721","Artemisia annua",1,24,2,23,"too_rare"
"487",487,1,0.5,0.5,24.5,24.5,0.707106781186547,-0.707106781186547,-0.101015254455221,0.101015254455221,"29","99","1","0.7721","Ixeridium chinense",1,24,0,25,"too_rare"
"488",488,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"29","99","1","0.7721","Artemisia desertorum",0,25,1,24,"too_rare"
"489",489,1,0.5,0.5,24.5,24.5,0.707106781186547,-0.707106781186547,-0.101015254455221,0.101015254455221,"29","99","1","0.7721","Sonchus oleraceus",1,24,0,25,"too_rare"
"490",490,4.52267581191394e-05,15.5,15.5,9.5,9.5,1.90500190500286,-1.90500190500286,-2.43332131696144,2.43332131696144,"30","100","3","0.7493","Artemisia desertorum",23,2,8,17,"nurse"
"491",491,0.233660388894587,1.5,1.5,23.5,23.5,1.22474487139159,-1.22474487139159,-0.309426373877638,0.309426373877638,"30","100","3","0.7493","Caragana korshinskii",3,22,0,25,"too_rare"
"492",492,0.0135546660648155,7.5,7.5,17.5,17.5,1.6431676725155,-1.6431676725155,-1.07570574840095,1.07570574840095,"30","100","3","0.7493","Ixeridium chinense",12,13,3,22,"nurse"
"493",493,0.663421515816855,3,3,22,22,0.577350269189626,-0.577350269189626,-0.21320071635561,0.21320071635561,"30","100","3","0.7493","Cynanchum hancockianum",4,21,2,23,"too_rare"
"494",494,1,5.5,5.5,19.5,19.5,-0.21320071635561,0.21320071635561,0.11322770341446,-0.11322770341446,"30","100","3","0.7493","Bassia dasyphylla",5,20,6,19,"neutral"
"495",495,1,4,4,21,21,0,0,0,0,"30","100","3","0.7493","Euphorbia thymifolia",4,21,4,21,"too_rare"
"496",496,0.47048642205879,1,1,24,24,-1,1,0.204124145231932,-0.204124145231932,"30","100","3","0.7493","ding ",0,25,2,23,"too_rare"
"497",497,0.602167527748196,2,2,23,23,-0.707106781186547,0.707106781186547,0.208514414057075,-0.208514414057075,"30","100","3","0.7493","Setaria viridis",1,24,3,22,"too_rare"
"498",498,0.47048642205879,1,1,24,24,1,-1,-0.204124145231932,0.204124145231932,"30","100","3","0.7493","Chenopodium album",2,23,0,25,"too_rare"
"499",499,1,0.5,0.5,24.5,24.5,0.707106781186547,-0.707106781186547,-0.101015254455221,0.101015254455221,"30","100","3","0.7493","Psammochloa villosa",1,24,0,25,"too_rare"
"500",500,0.531971058097401,32,32,18,18,-0.353553390593274,0.353553390593274,0.471404520791032,-0.471404520791032,"30","101","2","0.7493","Bassia dasyphylla",30,20,34,16,"neutral"
"501",501,0.840342233476157,22,22,28,28,0.21320071635561,-0.21320071635561,-0.188982236504614,0.188982236504614,"30","101","2","0.7493","Artemisia desertorum",23,27,21,29,"neutral"
"502",502,3.93491022030316e-06,23,23,27,27,2.5021729686849,-2.5021729686849,-2.3094010767585,2.3094010767585,"30","101","2","0.7493","Ixeridium chinense",35,15,11,39,"nurse"
"503",503,0.00169971695228501,11,11,39,39,2.11057941204435,-2.11057941204435,-1.12089707663561,1.12089707663561,"30","101","2","0.7493","Lithospermum arvense",18,32,4,46,"nurse"
"504",504,1,0.5,0.5,49.5,49.5,0.707106781186547,-0.707106781186547,-0.0710669054518702,0.0710669054518702,"30","101","2","0.7493","Chenopodium album",1,49,0,50,"too_rare"
"505",505,0.0955807045456288,5,5,45,45,1.34164078649987,-1.34164078649987,-0.447213595499958,0.447213595499958,"30","101","2","0.7493","Heteropappus altaicus",8,42,2,48,"neutral"
"506",506,0.526537429213373,17,17,33,33,-0.485071250072666,0.485071250072666,0.348155311911396,-0.348155311911396,"30","101","2","0.7493","Psammochloa villosa",15,35,19,31,"neutral"
"507",507,1,5.5,5.5,44.5,44.5,0.21320071635561,-0.21320071635561,-0.0749531688995861,0.0749531688995861,"30","101","2","0.7493","Poa sphondylodes",6,44,5,45,"neutral"
"508",508,1,0.5,0.5,49.5,49.5,-0.707106781186547,0.707106781186547,0.0710669054518702,-0.0710669054518702,"30","101","2","0.7493","Caragana korshinskii",0,50,1,49,"too_rare"
"509",509,0.475050524053953,1,1,49,49,1,-1,-0.142857142857143,0.142857142857143,"30","101","2","0.7493","Salsola ruthenica",2,48,0,50,"too_rare"
"510",510,0.475050524053953,1,1,49,49,1,-1,-0.142857142857143,0.142857142857143,"30","101","2","0.7493","Dracocephalum moldavica",2,48,0,50,"too_rare"
"511",511,0.475050524053953,1,1,49,49,-1,1,0.142857142857143,-0.142857142857143,"30","101","2","0.7493","Oxytropis psammocharis",0,50,2,48,"too_rare"
"512",512,1,1.5,1.5,48.5,48.5,-0.408248290463863,0.408248290463863,0.0717958158617738,-0.0717958158617738,"30","101","2","0.7493","Setaria viridis",1,49,2,48,"too_rare"
"513",513,1,0.5,0.5,49.5,49.5,0.707106781186547,-0.707106781186547,-0.0710669054518702,0.0710669054518702,"30","101","2","0.7493","Astragalus melilotoides",1,49,0,50,"too_rare"
"514",514,1,0.5,0.5,49.5,49.5,0.707106781186547,-0.707106781186547,-0.0710669054518702,0.0710669054518702,"30","101","2","0.7493","Medicago Sativa",1,49,0,50,"too_rare"
"515",515,0.00199940170514856,31,31,19,19,1.4368424162142,-1.4368424162142,-1.83532587096449,1.83532587096449,"30","102","1","0.7487","Ixeridium chinense",39,11,23,27,"nurse"
"516",516,0.020227453708577,17,17,33,33,-1.455213750218,1.455213750218,1.04446593573419,-1.04446593573419,"30","102","1","0.7487","Bassia dasyphylla",11,39,23,27,"bare"
