"","country","ID","site_ID","plot","graz","aridity","replicate_no","nurse","NIntc_richness","NIntc_cover","NIntc_shannon","NInta_richness","NInta_cover","NInta_shannon"
"45","algeria",2,1,2,2,0.8317,20,"Stipa tenacissima",-0.333333333333333,-0.333333333333333,-0.369070246428543,-0.5,-0.5,-0.53915457938163
"46","algeria",2,1,2,2,0.8317,21,"Stipa tenacissima",-0.333333333333333,-0.166666666666667,-0.423209275001124,-0.5,-0.285714285714286,-0.594725290840716
"47","algeria",2,1,2,2,0.8317,22,"Stipa tenacissima",-0.333333333333333,0,-0.142410998096911,-0.5,0,-0.249316574042349
"48","algeria",2,1,2,2,0.8317,23,"Stipa tenacissima",-0.333333333333333,-0.4,-0.330175837284811,-0.5,-0.571428571428571,-0.496439384974507
"49","algeria",2,1,2,2,0.8317,24,"Stipa tenacissima",-0.5,-0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.666666666666667
"50","algeria",2,1,2,2,0.8317,25,"Stipa tenacissima",0.333333333333333,0.125,0.30808498858603,0.666666666666667,0.25,0.616169977172061
"51","algeria",3,1,3,1,0.8317,1,"Stipa tenacissima",0,0,-0.188721875540867,0,0,-0.31752065714278
"52","algeria",3,1,3,1,0.8317,2,"Stipa tenacissima",-0.666666666666667,-0.909090909090909,-1,-0.8,-0.952380952380952,-1
"53","algeria",3,1,3,1,0.8317,3,"Stipa tenacissima",-0.666666666666667,-0.2,-1,-0.8,-0.333333333333333,-1
"54","algeria",3,1,3,1,0.8317,4,"Stipa tenacissima",-1,-1,NA,-1,-1,NA
"55","algeria",3,1,3,1,0.8317,5,"Stipa tenacissima",-0.666666666666667,-0.9375,-1,-0.8,-0.967741935483871,-1
"56","algeria",3,1,3,1,0.8317,6,"Stipa tenacissima",-0.666666666666667,-0.956521739130435,-1,-0.8,-0.977777777777778,-1
"57","algeria",3,1,3,1,0.8317,7,"Stipa tenacissima",-1,-1,NA,-1,-1,NA
"58","algeria",3,1,3,1,0.8317,8,"Stipa tenacissima",-0.666666666666667,-0.666666666666667,-0.620441974568363,-0.8,-0.8,-0.765768826413707
"59","algeria",3,1,3,1,0.8317,9,"Stipa tenacissima",-0.75,-0.8,-1,-0.857142857142857,-0.888888888888889,-1
"60","algeria",3,1,3,1,0.8317,10,"Stipa tenacissima",-0.666666666666667,-0.978723404255319,-1,-0.8,-0.989247311827957,-1
"61","algeria",3,1,3,1,0.8317,11,"Stipa tenacissima",-0.666666666666667,-0.896551724137931,-1,-0.8,-0.945454545454545,-1
"62","algeria",3,1,3,1,0.8317,12,"Stipa tenacissima",-1,-1,NA,-1,-1,NA
"63","algeria",3,1,3,1,0.8317,13,"Stipa tenacissima",0,-0.65,0.32289774102427,0,-0.787878787878788,0.645795482048539
"64","algeria",3,1,3,1,0.8317,14,"Stipa tenacissima",-0.555555555555556,-0.8125,0.0569021054677069,-0.714285714285714,-0.896551724137931,0.113804210935414
"65","algeria",3,1,3,1,0.8317,15,"Stipa tenacissima",-0.666666666666667,-0.75,-1,-0.8,-0.857142857142857,-1
"66","algeria",3,1,3,1,0.8317,16,"Stipa tenacissima",-0.666666666666667,-0.9375,-1,-0.8,-0.967741935483871,-1
"67","algeria",3,1,3,1,0.8317,17,"Stipa tenacissima",0,-0.4375,0.323176936558862,0,-0.608695652173913,0.646353873117724
"68","algeria",3,1,3,1,0.8317,18,"Stipa tenacissima",0,-0.897959183673469,0.724050571329051,0,-0.946236559139785,1.4481011426581
"69","algeria",3,1,3,1,0.8317,19,"Stipa tenacissima",-0.666666666666667,0.619047619047619,-0.616515246809147,-0.8,1.23809523809524,-0.762770716856636
"70","algeria",3,1,3,1,0.8317,20,"Stipa tenacissima",-0.25,-0.142857142857143,-0.320642165979052,-0.4,-0.25,-0.485585231547329
"71","algeria",3,1,3,1,0.8317,21,"Stipa tenacissima",-1,-1,NA,-1,-1,NA
"72","algeria",3,1,3,1,0.8317,22,"Stipa tenacissima",-0.25,-0.4,-0.175326847587373,-0.4,-0.571428571428571,-0.298345686473973
"73","algeria",3,1,3,1,0.8317,23,"Stipa tenacissima",0,-0.526315789473684,0.136283944717051,0,-0.689655172413793,0.272567889434101
"74","algeria",3,1,3,1,0.8317,24,"Stipa tenacissima",-0.25,-0.333333333333333,-0.285891335347733,-0.4,-0.5,-0.4446586231494
"75","algeria",3,1,3,1,0.8317,25,"Stipa tenacissima",-0.333333333333333,-0.333333333333333,-0.369070246428543,-0.5,-0.5,-0.53915457938163
"76","argentina",16,6,1,3,0.8212,1,"Condalia microphylla",0.428571428571429,0.240740740740741,0.540375024150718,0.857142857142857,0.481481481481481,1.08075004830144
"77","argentina",16,6,1,3,0.8212,2,"Condalia microphylla",0.545454545454545,0.744444444444444,0.229261373050228,1.09090909090909,1.48888888888889,0.458522746100456
